block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID
4300,SALINA,ST,S,7,3,4,560,40,3/10,2001,F,MA,6,13002117
500,STATE,ST,N,5,3,2,502,60,1/10,1991,F,MA,6,12577957
5900,SALINA,ST,S,6,3,4,211,40,3/10,2001,F,MA,6,12564386
600,NEWELL,ST,W,7,4,3,733,24,3/09,1998,F,Local,6,12571995
600,SALINA,ST,S,5,3,3,549,56,1/10,1997,F,Local,6,12577642
1400,GEDDES,ST,S,8,4,5,407,36,12/06,2004,F,MA,6,12573045
2800,SALINA,ST,S,6,3,4,352,40,3/07,1998,F,MA,6,12576855
5500,SALINA,ST,S,7,3,4,359,40,12/07,2001,F,MA,6,13020812
600,MIDLER,AVE,S,8,4,4,1650,40,12/07,1987,F,Local,6,12578853
1200,SALINA,ST,S,6,3,3,903,56,3/11,2002,F,Local,6,12577340
1500,SALINA,ST,S,6,3,2,512,40,3/11,2002,F,PA,6,12577258
200,STATE,ST,N,6,3,3,378,60,2/11,1991,F,Local,6,12577872
400,WEST,ST,S,6,3,5,296,74,2/11,1996,F,Local,6,13016421
700,BELDEN,AVE,W,9,5,5,850,34,2/11,2006,F,Local,6,13013164
1800,STATE,ST,S,4,3,2,422,32,11/11,1987,F,Local,6,12577293
2500,FAYETTE,ST,E,4,3,2,300,36,11/11,1989,F,CO,6,12578760
700,GEDDES,ST,S,6,3,3,345,60,2/12,2002,F,MA,6,12573107
2400,SALINA,ST,S,6,3,3,310,40,3/13,1998,F,PA,6,12576838
500,BRIGHTON,AVE,W,6,2,4,557,28,3/13,2008,F,Local,6,12572107
3400,GENESEE,ST,E,8,4,5,687,40,12/05,2004,F,PA,6,12578910
1000,MCBRIDE,ST,N,8,4,4,768,30,1/05,2000,F,Local,6,12580013
2100,GENESEE,ST,E,8,4,4,306,40,12/05,2004,F,PA,6,13020990
2500,SALINA,ST,S,6,3,2,296,40,3/05,1998,F,PA,6,12576834
700,BEECH,ST,S,8,4,4,910,24,3/05,1994,F,Local,6,12577639
200,TOWNSEND,ST,N,7,4,4,513,35,2/03,1990,F,Local,6,12577932
900,FAYETTE,ST,E,10,5,5,300,36,12/02,2002,F,MA,6,12577820
1700,SALINA,ST,S,7,4,3,301,40,12/01,1997,F,PA,6,12577261
1500,GENESEE,ST,E,6,3,3,594,42,12/99,1988,F,PA,6,12578191
1500,ONONDAGA,ST,W,4,3,3,330,35,12/99,1991,F,MA,6,12572999
200,NEWELL,ST,W,6,3,4,841,25,2/00,1996,F,Local,6,12576804
100,CHELTENHAM,RD,W,6,3,5,745,24,6/15,1999,O,Local,3,12576510
1600,COLVIN,ST,E,6,3,3,1848,36,5/14,1998,F,MA,6,12577133
1600,ERIE,BLVD,E,10,5,5,533,56,9/14,2014,F,PA,6,12578312
4500,SALINA,ST,S,6,3,3,359,40,5/14,2001,F,MA,6,12576612
500,GEDDES,ST,S,8,4,5,306,56,6/14,2011,F,MA,6,12573433
5800,SALINA,ST,S,5,3,3,401,40,5/14,2001,F,MA,6,12564388
1600,GENESEE,ST,W,7,4,3,315,40,2/10,2001,F,PA,6,12572836
200,ONONDAGA,ST,W,6,3,3,600,58,3/09,1998,F,MA,6,13002402
2000,STATE,ST,S,10,5,5,370,30,10/09,2009,F,Local,6,12577274
200,KENNEDY,ST,W,5,3,3,880,30,3/08,1996,F,Local,6,13028501
300,BRIGHTON,AVE,E,7,3,4,675,35,3/07,2004,F,PA,4,12576864
400,AVERY,AVE,S,6,3,3,1877,36,3/07,1996,F,CO,4,12572435
500,ADAMS,ST,E,8,4,4,469,64,3/07,2000,F,Local,6,12577667
700,ADAMS,ST,E,5,3,2,411,30,3/08,2002,F,MA,6,13008622
500,BEECH,ST,S,4,2,1,850,24,3/11,1994,F,Local,6,12578189
100,STATE,ST,N,10,5,5,687,60,11/11,2011,F,Local,6,13008632
1000,SALINA,ST,N,8,4,4,300,70,2/12,2003,F,MA,6,12575160
1400,COLVIN,ST,W,8,4,4,285,34,4/13,2009,F,Local,6,12572058
300,ONONDAGA,ST,W,10,2,2,908,58,3/13,2013,F,MA,6,12573668
5500,SALINA,ST,S,7,4,4,618,40,2/06,2001,F,MA,6,12564383
500,SALINA,ST,S,6,3,3,665,56,1/05,1997,F,Local,6,12577649
600,NEWELL,ST,W,7,4,3,733,24,3/05,1998,F,Local,6,13020277
800,LAFAYETTE,AVE,W,7,4,3,815,22,3/05,1996,O,Local,3,12572067
1000,ADAMS,ST,E,7,3,4,616,30,1/04,1998,F,MA,6,12578100
400,MIDLER,AVE,S,8,3,5,723,34,3/04,1994,F,MA,4,12580967
4700,SALINA,ST,S,6,3,4,480,40,1/03,1989,F,MA,6,12576601
100,BEARD,AVE,E,6,3,3,528,25,1/02,1991,F,Local,6,12577248
3500,SALINA,ST,S,10,5,5,259,40,11/01,2001,F,MA,6,12576766
5000,SALINA,ST,S,10,5,5,317,40,11/01,2001,F,MA,6,13002104
200,BORDEN,AVE,W,5,3,4,925,27,1/01,1996,F,Local,6,12577229
100,ONONDAGA,ST,W,10,5,5,456,58,4/14,2013,F,MA,6,12573696
2200,FAYETTE,ST,E,10,5,2,300,36,9/14,2014,F,CO,6,13028257
300,SALINA,ST,N,7,4,4,866,60,4/14,1989,F,MA,6,12577944
300,TOWNSEND,ST,S,4,3,1,168,60,4/14,1992,F,CO,6,12577712
4300,SALINA,ST,S,5,2,3,560,40,5/14,2001,F,MA,6,12576630
600,WEST,ST,S,8,4,5,470,74,4/15,1996,F,Local,6,12573660
800,CLINTON,ST,S,10,5,5,752,30,6/15,2015,F,MA,6,12573675
200,ADAMS,ST,E,7,4,3,557,64,3/09,2000,F,Local,6,12577645
300,BEARD,AVE,W,5,3,2,252,28,3/09,1996,F,Local,6,12577221
5500,SALINA,ST,S,6,3,4,618,40,3/10,2001,F,MA,6,12564383
600,WARREN,ST,S,6,3,3,605,38,1/10,2000,F,Local,6,12577650
900,FAYETTE,ST,E,6,3,4,300,36,2.09,2002,F,MA,6,12577820
200,STATE,ST,N,6,3,3,378,60,3/08,1991,F,Local,6,12577873
300,CLINTON,ST,S,6,3,3,260,50,3/08,2001,F,MA,6,12573749
600,STATE,ST,S,5,3,3,535,45,3/08,1983,F,PA,6,13002520
100,COLVIN,ST,W,8,4,3,291,25,3/11,2004,F,MA,6,12577237
700,CLINTON,ST,N,4,3,2,1085,40,2/11,2009,F,Local,4,12575092
1900,GENESEE,ST,W,6,3,3,554,40,2/12,2001,F,PA,6,12572750
500,EDWARDS,AVE,S,7,4,4,545,31,12/11,2001,O,Local,3,12580955
100,COLVIN,ST,E,8,4,3,522,36,3/13,2004,F,MA,6,12577273
1000,DIVISION,ST,E,8,3,5,170,37,4/13,2006,O,Local,3,12580176
100,BEARD,AVE,E,5,3,2,528,25,3/06,1991,F,Local,6,12577248
100,BRIGHTON,AVE,W,8,5,5,484,30,3/06,2001,F,Local,6,12576813
600,SALINA,ST,N,9,5,5,496,70,2/06,2003,F,MA,6,12575125
900,WILLOW,ST,E,6,3,2,600,35,2/06,1993,F,Local,6,12580074
2200,GENESEE,ST,E,8,4,4,363,40,12/05,2004,F,PA,6,12578705
100,COLLINGWOOD,AVE,N,5,3,2,708,28,3/04,1988,O,Local,3,12581096
2100,FAYETTE,ST,E,6,4,2,270,36,1/03,1992,F,CO,6,13028256
400,RAYNOR,AVE,E,7,4,4,474,36,3/04,1993,F,Local,6,12577360
300,MIDLER,AVE,S,8,4,4,781,34,1/02,1994,F,MA,4,12580987
1100,FAYETTE,ST,E,6,3,4,600,36,3/13,2002,F,MA,6,12578140
1400,ERIE,BLVD,E,3,1,2,663,56,1/13,1997,F,PA,6,12578302
2800,GENESEE,ST,E,6,3,4,517,40,3/12,2003,F,PA,6,12578744
300,COLVIN,ST,W,8,4,4,498,25,3/13,2004,F,MA,6,12576826
300,GLEN,AVE,E,7,3,5,375,25,3/13,1993,O,Local,3,12576647
5200,SALINA,ST,S,7,3,5,359,40,1/12,2001,F,MA,6,13002110
100,AVERY,AVE,S,6,3,4,455,36,3/07,1996,F,CO,6,12572698
1800,FAYETTE,ST,W,8,4,4,600,30,3/07,2004,F,Local,6,12573490
2200,ERIE,BLVD,E,8,4,4,1208,56,12/06,1999,F,PA,6,12578831
2800,GENESEE,ST,E,8,4,5,517,40,3/06,2003,F,PA,6,12578730
500,BRIGHTON,AVE,E,7,3,4,645,35,3/07,2004,F,PA,4,13002070
5500,SALINA,ST,S,7,3,4,359,40,2/06,2001,F,MA,6,12564377
700,TOWNSEND,ST,N,3,3,1,517,35,3/06,1990,F,Local,6,12580003
800,BRIGHTON,AVE,E,10,5,5,1060,82,10/05,2005,F,MA,4,13002018
1000,FAYETTE,ST,E,7,4,4,600,36,2/05,2002,F,MA,6,12578135
800,BELDEN,AVE,W,10,5,5,800,34,11/04,2004,F,Local,6,12573793
200,MONTICELLO,DR,N,6,3,4,846,28,12/02,1995,O,Local,3,12576626
600,NEWELL,ST,W,8,4,4,733,24,1/03,1998,F,Local,6,12572078
600,STATE,ST,N,8,4,5,327,60,3/03,2002,F,MA,6,12577959
1100,ADAMS,ST,E,6,3,4,616,30,12/01,1998,F,MA,6,12578106
600,MIDLER,AVE,S,7,4,4,1650,40,1/02,1987,F,Local,6,12578853
1900,FAYETTE,ST,W,7,4,4,750,30,1/01,1998,F,Local,6,12572877
100,GEDDES,ST,S,8,4,5,414,56,6/14,2011,F,MA,6,12573467
1500,GENESEE,ST,E,7,3,4,594,42,5/15,2004,F,PA,6,12578191
2700,FAYETTE,ST,E,4,3,1,325,36,5/14,1989,F,CO,6,12578776
100,MONTICELLO,DR,S,7,4,3,1373,27,1/01,1995,O,Local,3,12576560
100,BRIGHTON,AVE,E,10,5,5,528,35,3/09,2008,F,PA,6,12576856
200,MCBRIDE,ST,N,5,3,4,405,30,12/09,2004,F,Local,6,12577934
3100,SALINA,ST,S,10,5,5,300,40,3/09,2008,F,MA,6,13012959
400,STATE,ST,N,5,3,2,417,60,3/09,1991,F,MA,6,12577950
700,BRIGHTON,AVE,E,8,4,5,1349,85,3/10,2005,F,MA,4,13016736
900,TOWNSEND,ST,N,6,4,2,540,30,12/09,1999,F,Local,6,12580009
1200,STATE,ST,S,5,4,2,898,40,2/13,1987,F,PA,6,13002509
1700,ONONDAGA,ST,W,8,4,5,1156,35,2/12,2005,F,MA,6,12572411
400,WATER,ST,E,5,2,3,450,34,2/12,2002,F,CO,6,12577880
600,MIDLER,AVE,S,7,4,3,1650,40,12/11,1987,F,Local,6,13011157
100,CLINTON,ST,S,8,4,5,330,50,2/06,2001,F,MA,6,12573885
100,WARREN,ST,S,5,3,2,405,38,2/06,1988,F,Local,6,12577827
100,WEST,ST,S,7,3,5,612,60,3/07,1996,F,Local,6,13002310
1200,GEDDES,ST,S,8,4,5,360,36,12/06,2004,F,MA,6,12573056
200,WASHINGTON,ST,E,5,3,3,375,38,3/07,1992,F,CO,6,13013207
400,ALVORD,ST,S,5,3,2,704,32,2/06,1987,F,Local,6,13028344
700,BRIGHTON,AVE,E,10,5,5,1349,85,10/05,2005,F,MA,4,13016734
800,GENESEE,ST,E,10,5,5,567,62,10/05,2005,F,PA,6,12577807
1800,FAYETTE,ST,E,8,4,4,720,36,3/05,1992,F,CO,6,12578708
2000,SALINA,ST,S,7,4,2,364,40,3/05,1998,F,PA,6,12577241
3800,GENESEE,ST,E,10,5,5,1980,40,11/04,2004,F,PA,6,12579379
1000,STATE,ST,N,5,3,3,1014,35,1/02,1993,F,MA,6,12575120
200,JEFFERSON,ST,W,10,5,5,532,36,11/01,2001,F,CO,6,12573742
300,ONONDAGA,ST,E,4,2,2,670,40,1/02,1983,F,Local,6,12577695
400,STATE,ST,S,3,1,2,382,45,1/02,1983,F,PA,6,12577702
1500,GEDDES,ST,S,7,3,4,400,36,3/15,2004,F,MA,6,12572968
300,SALINA,ST,N,7,4,4,866,60,4/14,1989,F,MA,6,13018179
400,MIDLER,AVE,S,6,3,4,723,34,4/14,1994,F,MA,4,12580967
5100,SALINA,ST,S,6,3,4,280,40,5/14,2001,F,MA,6,12576527
200,WARRINGTON,RD,W,10,5,5,287,25,11/00,2000,O,Local,3,12576509
1400,FAYETTE,ST,W,6,3,3,600,30,6/14,2004,F,Local,6,13010440
1800,GENESEE,ST,E,6,3,3,435,42,6/15,2004,F,PA,6,12578211
2900,SALINA,ST,S,5,2,3,308,40,6/15,1998,F,MA,6,12576853
500,BEECH,ST,S,5,3,2,850,24,6/15,1994,F,Local,6,12578189
1200,COLVIN,ST,E,4,2,3,470,36,3/09,1987,F,MA,6,12576986
2900,GENESEE,ST,E,7,4,5,1224,40,3/10,2003,F,PA,6,12578746
3000,SALINA,ST,S,6,3,3,370,40,3/09,1998,F,MA,6,12576842
800,WILBUR,AVE,S,8,4,4,909,41,2/11,2004,F,Local,6,12573415
1000,ONONDAGA,ST,W,8,4,4,785,34,2/12,2005,F,MA,6,12573242
2100,GEDDES,ST,S,5,2,5,1530,36,4/13,2008,F,MA,6,12571879
300,ONONDAGA,ST,E,5,3,3,670,40,2/12,2003,F,Local,6,12577695
500,MIDLER,AVE,S,5,2,4,570,36,12/11,1989,F,MA,6,12580958
900,CLINTON,ST,N,8,4,4,603,30,2/12,2005,O,Local,4,12575073
900,TOWNSEND,ST,N,5,2,2,540,30,1/12,1999,F,Local,6,12580009
1000,ONONDAGA,ST,W,10,5,5,785,34,10/05,2005,F,MA,6,13013131
300,AVERY,AVE,S,6,3,2,264,36,3/07,1996,F,CO,6,12572693
300,PLEASANT,AVE,W,7,4,3,540,30,3/07,1996,O,Local,3,12576730
400,MIDLER,AVE,S,7,3,5,723,34,3/06,1994,F,MA,4,12580967
500,OSTRANDER,AVE,W,8,4,5,222,24,1/06,2002,F,Local,6,12571991
1700,ONONDAGA,ST,W,5,3,2,1156,35,3/04,1991,F,MA,6,12572411
200,WASHINGTON,ST,E,6,3,3,375,38,2/03,1992,F,CO,6,12577836
400,ADAMS,ST,E,9,5,5,469,64,3/03,2000,F,Local,6,12577661
400,ONONDAGA,ST,W,8,4,4,306,58,3/04,1999,F,MA,6,12573352
4600,SALINA,ST,S,8,4,5,370,40,1/03,1989,F,MA,6,12576609
5000,SALINA,ST,S,8,4,5,317,40,3/04,2001,F,MA,6,12576529
600,BEECH,ST,S,8,4,4,1015,24,1/03,1994,F,Local,6,12578172
100,GEDDES,ST,N,7,3,4,501,56,1/01,1997,F,MA,6,12573468
600,STATE,ST,N,6,4,3,327,60,1/02,1991,F,MA,6,12577959
800,BRIGHTON,AVE,E,7,4,3,1060,82,5/14,2005,F,MA,4,13002032
3800,GENESEE,ST,E,7,3,4,853,40,12/99,1986,F,PA,6,12579379
1900,FAYETTE,ST,W,5,3,2,750,30,4/15,2004,F,Local,6,12572877
200,CROUSE,AVE,S,6,3,4,331,36,4/14,2004,F,Local,6,12577821
100,AVERY,AVE,S,6,3,4,455,36,3/09,1996,F,CO,6,13010364
100,SALINA,ST,N,6,3,3,366,60,3/09,1989,F,MA,6,12577845
1600,GENESEE,ST,E,8,4,3,556,42,12/08,2004,F,PA,6,12578195
200,MONTICELLO,DR,N,7,3,3,846,28,7/10,1995,O,Local,3,12576626
5800,SALINA,ST,S,6,3,3,401,40,3/10,2001,F,MA,6,12564396
300,SALINA,ST,N,6,3,3,866,60,2/11,1989,F,MA,6,12577955
100,ONONDAGA,ST,W,10,2,4,456,58,4/13,2013,F,MA,6,12573696
1600,GENESEE,ST,W,6,4,2,315,40,2/12,2001,F,PA,6,12572839
500,FAYETTE,ST,E,7,3,5,500,36,3/13,2003,F,MA,6,12577714
500,GENESEE,ST,W,6,3,3,465,48,2/13,1999,F,PA,6,12573905
100,CHELTENHAM,RD,W,7,4,4,745,24,2/06,1999,O,Local,3,12576510
1300,SALINA,ST,N,6,3,5,465,42,1/06,2003,F,MA,6,12575223
800,ADAMS,ST,E,7,3,4,763,30,2/06,2002,F,MA,6,12577753
1000,TOWNSEND,ST,S,10,5,5,312,34,12/04,2004,F,Local,6,12577410
400,WILBUR,AVE,S,6,4,3,352,41,3/05,2002,F,CO,6,12573401
4600,SALINA,ST,S,8,4,5,370,40,3/05,1989,F,MA,6,12576609
200,BORDEN,AVE,W,4,2,2,925,27,3/04,1996,F,Local,6,12577229
200,COLLINGWOOD,AVE,S,10,5,5,845,24,11/02,2002,O,Local,3,12580982
3600,GENESEE,ST,E,10,5,5,525,40,11/04,2004,F,PA,6,12579371
800,ERIE,BLVD,W,8,4,5,582,56,11/03,2003,F,PA,6,12573466
100,CORNING,AVE,W,8,4,5,969,28,1/01,2000,O,Local,3,12576806
100,STATE,ST,S,5,3,3,492,45,4/14,2003,F,PA,6,12577876
1300,STATE,ST,S,5,4,1,792,32,4/15,1987,F,PA,6,12577353
2100,COLVIN,ST,E,8,5,4,422,36,3/15,1998,F,MA,6,12577140
4300,SALINA,ST,S,5,2,3,560,40,5/14,2001,F,MA,6,13002117
600,COLVIN,ST,E,7,3,4,263,36,3/15,1990,F,MA,6,12577318
800,GEDDES,ST,S,6,3,3,400,56,6/14,2002,F,MA,6,12573105
100,COLLINGWOOD,AVE,S,7,4,4,897,24,12/99,1989,O,Local,3,12581069
1100,SALINA,ST,S,6,3,3,417,56,4/15,2002,F,Local,6,12577344
1600,GENESEE,ST,E,7,4,3,556,42,6/15,2004,F,PA,6,12578194
300,WEST,ST,S,8,4,5,424,74,4/15,1996,F,Local,6,13012509
100,TAYLOR,ST,E,6,4,3,414,27,2/10,2000,F,Local,6,12577379
1300,COLVIN,ST,E,5,3,3,2012,36,3/10,1999,F,MA,6,12577017
1300,COLVIN,ST,W,9,5,5,303,34,1/10,2009,F,Local,6,12572118
600,BRIGHTON,AVE,W,5,2,3,666,28,2/10,2003,F,Local,6,12572076
300,BEECH,ST,S,8,4,4,575,24,3/08,2003,F,Local,6,12578160
400,GEDDES,ST,S,6,3,3,310,56,3/08,2002,F,MA,6,12573435
700,BEECH,ST,S,5,2,1,910,24,3/11,1994,F,Local,6,12578173
1300,STATE,ST,N,9,5,5,183,35,5/13,2007,F,MA,6,12575154
200,FAYETTE,ST,W,4,3,1,500,37,4/13,1986,F,MA,6,12573746
200,SALINA,ST,N,5,3,3,315,60,4/13,1989,F,MA,6,12577851
2600,FAYETTE,ST,E,3,2,2,850,36,11/11,1989,F,CO,6,12578772
400,STATE,ST,S,6,3,4,382,45,2/12,2003,F,PA,6,12577702
4700,SALINA,ST,S,6,3,4,480,40,3/13,1989,F,MA,6,12576601
100,LOWELL,AVE,S,9,5,5,280,30,3/06,2003,F,Local,6,12573390
200,KENNEDY,ST,W,5,3,3,880,30,3/06,1996,F,Local,6,12577252
200,SALINA,ST,N,6,3,3,315,60,3/07,1989,F,MA,6,12577851
700,FAYETTE,ST,W,8,4,4,450,34,7/04,2002,F,MA,6,12573624
800,GEDDES,ST,S,7,4,4,400,56,3/06,2002,F,MA,6,12573105
100,AVERY,AVE,S,7,3,5,455,36,3/05,1996,F,CO,6,13010365
1600,ERIE,BLVD,E,6,3,4,533,56,1/05,1997,F,PA,6,12578311
1800,FAYETTE,ST,E,8,4,4,720,36,3/05,1992,F,CO,6,13028258
100,CHAFFEE,AVE,E,8,4,4,1064,27,12/02,1991,O,Local,3,12571710
100,FAYETTE,ST,W,7,4,4,350,37,1.03,1999,F,MA,6,12573751
900,COLVIN,ST,E,6,3,3,343,36,1/03,1987,F,MA,6,12577495
100,WEST,ST,S,7,3,5,2900,60,3/03,1996,F,Local,6,13002309
500,SALINA,ST,S,7,4,3,665,56,1/02,1997,F,Local,6,12577649
800,GENESEE,ST,E,6,3,3,567,50,1/02,1985,F,PA,6,12577813
200,WILBUR,AVE,S,9,5,5,293,41,1/01,1999,F,CO,6,12573404
2200,GEDDES,ST,S,8,4,4,686,36,1/01,1996,F,MA,6,12571849
400,GEDDES,ST,N,9,5,5,564,46,4/14,2011,F,MA,4,12573542
3500,GENESEE,ST,E,6,3,3,687,40,12/99,1986,F,PA,6,12578924
1400,ONONDAGA,ST,W,8,4,4,330,35,2/10,2005,F,MA,6,12573003
200,MIDLER,AVE,S,6,3,3,820,34,12/09,1994,F,MA,6,12580994
300,STATE,ST,N,6,3,3,350,60,3/09,1991,F,MA,6,12577949
600,WILBUR,AVE,S,7,3,5,470,41,3/09,2002,F,CO,6,12573424
500,GEDDES,ST,S,6,3,3,306,56,3/08,2002,F,MA,6,12573433
200,PLEASANT,AVE,W,5,4,1,800,27,3/11,2002,F,Local,6,12576801
2000,ERIE,BLVD,E,6,3,2,725,56,1/11,1999,F,PA,6,12578796
400,NEWELL,ST,W,6,4,2,308,24,3/11,1998,F,Local,6,12572093
900,ADAMS,ST,E,8,4,5,323,30,2/00,1998,F,MA,6,12577755
100,MONTICELLO,DR,S,7,4,3,1373,27,12/98,1995,O,Local,3,12576560
1000,SALINA,ST,S,5,2,3,560,56,4/15,2002,F,Local,6,12577367
1100,STATE,ST,N,7,4,4,459,35,4/15,2006,F,MA,6,13001384
2000,GEDDES,ST,S,5,2,5,792,36,3/15,2008,F,MA,6,12572937
2500,STATE,ST,S,10,5,5,580,30,3/09,2008,F,Local,6,12576875
400,ALVORD,ST,S,4,3,2,704,32,12/09,1987,F,Local,6,12580057
100,BEARD,AVE,W,5,3,2,587,28,1/07,1996,F,Local,6,12577235
100,STATE,ST,S,6,3,4,492,45,3/08,2003,F,PA,6,12577878
1300,STATE,ST,S,4,3,1,792,32,3/07,1987,F,PA,6,12577353
600,RAYNOR,AVE,E,5,2,4,280,36,3/08,1992,F,Local,6,12577430
2100,FAYETTE,ST,E,3,2,1,270,36,3/11,1992,F,CO,6,12578721
300,AVERY,AVE,S,6,2,4,264,36,2/11,1996,F,CO,6,12572693
100,KENNEDY,ST,W,4,2,2,616,30,3/12,1996,F,Local,6,12577255
800,BRIGHTON,AVE,E,7,4,3,1060,82,1/12,2005,F,MA,4,13002018
100,CHAFFEE,AVE,E,8,4,5,1064,27,3/13,1991,O,Local,3,12576518
2100,COLVIN,ST,E,8,4,5,422,36,3/13,1998,F,MA,6,12577140
500,BEECH,ST,S,5,3,2,850,24,3/13,1994,F,Local,6,12578167
200,CALTHROP,AVE,W,7,4,3,733,25,2/06,1999,F,Local,6,12576737
3000,GENESEE,ST,E,8,4,5,1140,40,12/05,2003,F,PA,6,12578861
500,BRIGHTON,AVE,E,7,3,4,645,35,3/07,2004,F,PA,4,12576910
500,GENESEE,ST,E,10,5,5,456,42,10/05,2005,F,MA,6,12577710
1000,GEDDES,ST,S,7,4,5,390,40,3/05,2000,F,MA,6,13028438
300,FAYETTE,ST,W,6,4,3,950,37,3/05,1986,F,MA,6,13020300
1200,COLVIN,ST,E,4,2,3,470,36,1/03,1987,F,MA,6,12576986
1600,GENESEE,ST,W,8,5,4,870,40,3/04,2001,F,PA,6,12572839
500,MCBRIDE,ST,N,9,5,5,330,30,2/04,2000,F,Local,6,12577981
100,SALINA,ST,S,6,4,3,456,56,1/01,1988,F,Local,6,12573891
300,LOWELL,AVE,N,10,5,5,350,36,11/01,2001,F,Local,6,12573472
100,COLLINGWOOD,AVE,N,7,3,4,708,28,12/00,1988,O,Local,3,12581096
1600,ONONDAGA,ST,W,4,2,3,807,35,12/99,1991,F,MA,6,13029105
200,EDWARDS,AVE,N,8,4,4,1027,29,12/00,1999,O,Local,3,12581112
800,GENESEE,ST,E,6,3,3,567,50,3/00,1985,F,PA,6,12577813
300,BEARD,AVE,W,3,3,1,252,28,3/15,1996,F,Local,6,12577221
300,BEECH,ST,S,7,3,5,575,24,4/14,2003,F,Local,6,12578160
700,ERIE,BLVD,E,8,3,5,602,56,4/14,2004,F,PA,6,12578015
200,WILLOW,ST,W,5,3,3,418,40,1/10,2001,F,Local,6,12573902
300,LOWELL,AVE,S,8,4,5,275,30,2/10,2003,F,Local,6,12573396
400,STATE,ST,S,6,3,4,382,45,3/10,2003,F,PA,6,12577702
200,KENNEDY,ST,W,5,3,3,880,30,3/08,1996,F,Local,6,13028498
200,TOWNSEND,ST,N,7,4,4,513,35,3/07,1990,F,Local,6,12577932
1300,FAYETTE,ST,E,5,3,3,550,36,3/11,2002,F,MA,6,12578161
2900,ERIE,BLVD,E,6,3,4,2640,56,1/11,1999,F,PA,6,12579028
300,WILBUR,AVE,S,6,3,4,293,41,2/11,1999,F,CO,6,12573402
400,COLVIN,ST,E,7,3,4,253,36,3/11,1990,F,MA,6,12577291
5500,SALINA,ST,S,6,3,4,618,40,1/12,2001,F,MA,6,13020812
500,ONONDAGA,ST,W,10,3,3,385,58,2/12,2013,F,MA,6,13021001
600,FAYETTE,ST,W,8,4,5,475,34,4/13,2008,F,MA,6,12573635
1100,MCBRIDE,ST,S,6,3,4,351,30,1/05,1998,F,Local,6,12577468
1500,SALINA,ST,S,7,4,3,512,40,2/05,2002,F,PA,6,12577258
600,COLVIN,ST,E,8,4,5,263,36,1/05,1990,F,MA,6,13017689
100,ADAMS,ST,E,9,5,5,176,64,3/03,2000,F,Local,6,12577644
1100,FAYETTE,ST,E,10,5,5,600,36,12/02,2002,F,MA,6,12578140
1900,SALINA,ST,S,7,4,3,333,40,1/03,1998,F,PA,6,12577244
500,WARREN,ST,S,5,3,2,440,38,2/04,1988,F,Local,6,12577655
400,BEECH,ST,S,3,2,1,880,24,1/03,1993,F,Local,6,12578188
4400,SALINA,ST,S,10,5,5,512,40,11/01,2001,F,MA,6,12576628
600,GENESEE,ST,E,5,3,3,516,42,1/02,1985,F,MA,6,13017761
700,TOWNSEND,ST,N,5,4,2,517,35,1/01,1990,F,Local,6,12580003
200,KENNEDY,ST,W,7,4,4,880,31,1/01,1996,F,Local,6,13028499
300,TAYLOR,ST,E,10,5,5,495,27,11/00,2000,F,Local,6,13002517
1400,GEDDES,ST,S,7,3,4,407,36,3/15,2004,F,MA,6,12573044
200,SALINA,ST,S,6,3,3,324,56,4/14,1988,F,Local,6,12573752
2800,SALINA,ST,S,5,3,3,352,40,6/15,1998,F,MA,6,12576855
300,FLORENCE,AVE,E,5,3,1,525,25,6/15,2004,O,Local,3,12576643
4000,SALINA,ST,S,6,3,4,354,40,5/14,2001,F,MA,6,12576741
100,FAYETTE,ST,E,5,3,2,300,38,3/09,1999,F,MA,6,12577689
1100,ONONDAGA,ST,W,8,5,4,755,34,2/10,2005,F,MA,6,12573065
200,WASHINGTON,ST,E,5,3,3,375,38,3/09,1992,F,CO,6,12577825
2500,SALINA,ST,S,7,4,3,296,40,3/09,1998,F,PA,6,12576873
500,WILBUR,AVE,S,7,3,4,410,41,3/09,2002,F,CO,6,12573400
100,ONONDAGA,ST,W,6,3,4,456,58,3/07,1998,F,MA,6,12573696
1100,GEDDES,ST,S,7,4,4,450,40,12/06,2000,F,MA,6,12573059
800,COLVIN,ST,E,7,4,4,597,36,1/07,1987,F,MA,6,12577494
800,WILLOW,ST,E,6,3,4,706,34,3/08,1992,O,Local,6,12578070
200,ADAMS,ST,E,6,3,3,557,64,3/11,2000,F,Local,6,12577647
200,WASHINGTON,ST,W,4,2,2,500,42,2/11,2001,F,CO,6,12573880
200,BRIGHTON,AVE,W,7,4,3,821,30,2/12,2001,F,Local,6,12576809
700,GENESEE,ST,E,6,3,1,600,71,2/12,2005,F,PA,6,12577779
100,CHELTENHAM,RD,W,6,3,4,745,24,3/13,1999,O,Local,3,12576510
1200,GEDDES,ST,S,8,4,4,360,36,3/13,2004,F,MA,6,12573056
100,PLEASANT,AVE,E,8,3,5,137,25,3/05,1996,F,Local,6,12576845
200,AVERY,AVE,S,7,3,4,352,36,3/05,1996,F,CO,6,12572695
2600,SALINA,ST,S,6,3,2,330,40,3/05,1998,F,PA,6,12576872
1700,STATE,ST,S,7,4,3,211,32,1/03,1987,F,Local,6,12577249
