song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Char,Crystal Castles,0.019,0.637,188333,0.8320000000000001,0.0563,6,0.316,-6.6370000000000005,1,0.163,99.988,4.0,0.317
World In Motion,New Order,0.0239,0.603,270827,0.955,0.0451,1,0.11900000000000001,-4.111000000000001,1,0.0458,123.92200000000001,4.0,0.773
One Nation Under a Groove,Funkadelic,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654000000000002,0,0.0429,122.415,4.0,0.8420000000000001
Bouncin,Chief Keef,0.314,0.713,195429,0.611,0.0,1,0.11699999999999999,-6.702000000000001,0,0.24100000000000002,140.061,4.0,0.7829999999999999
C O O L - Radio Edit,Le Youth,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.98200000000001,4.0,0.763
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.0007019999999999999,0.8540000000000001,249253,0.7190000000000001,0.308,10,0.428,-9.335,0,0.0655,128.049,4.0,0.47100000000000003
House of Jealous Lovers,The Rapture,0.00023999999999999998,0.747,307680,0.74,0.369,1,0.0995,-4.1339999999999995,1,0.0323,130.031,4.0,0.77
Imma Ride,Young Thug,0.11800000000000001,0.8540000000000001,287086,0.401,0.0,9,0.527,-8.552999999999999,1,0.395,139.922,4.0,0.441
Girlfriend,Ty Segall,0.000596,0.22399999999999998,132760,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.02200000000002,4.0,0.364
If I Gave You My Love,Myron & E,0.27899999999999997,0.512,203400,0.564,1.5399999999999998e-05,10,0.133,-5.892,1,0.0316,94.49799999999999,4.0,0.401
This Ready Flesh,TR/ST,0.0021899999999999997,0.7809999999999999,205160,0.795,0.26899999999999996,7,0.0673,-6.757999999999999,1,0.036000000000000004,109.977,4.0,0.795
Lose My Mind,A-Trak,0.341,0.41100000000000003,199500,0.684,1.42e-06,11,0.198,-6.888999999999999,0,0.38299999999999995,110.016,4.0,0.598
Char,Crystal Castles,0.018000000000000002,0.6459999999999999,188333,0.8370000000000001,0.0403,6,0.316,-6.615,1,0.134,100.04,4.0,0.32
Look Alive,Rae Sremmurd,0.0516,0.782,228562,0.5720000000000001,0.0,4,0.33,-7.4670000000000005,0,0.0385,120.021,4.0,0.237
Please Stop Making Fake Versace,Father,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.765999999999998,1,0.102,129.004,4.0,0.326
Milly Rock,2milly,0.007909999999999999,0.45,220934,0.449,0.0,2,0.17300000000000001,-12.037,1,0.156,135.45,4.0,0.13699999999999998
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.0219,0.897,285240,0.642,1.31e-06,2,0.159,-8.828,1,0.0534,127.984,4.0,0.27
Best Friend,Young Thug,0.0358,0.9590000000000001,213000,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,4.0,0.424
Hercules,Young Thug,0.0324,0.742,280831,0.5589999999999999,0.0,5,0.0987,-5.876,1,0.141,146.923,4.0,0.429
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,0.11800000000000001,0.805,232880,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,4.0,0.6829999999999999
Check,Young Thug,0.0428,0.667,230693,0.581,0.0,0,0.183,-5.164,0,0.32299999999999995,110.95299999999999,4.0,0.37200000000000005
Poppin' My Collar,Three 6 Mafia,0.297,0.722,175613,0.823,0.0,7,0.489,-3.9160000000000004,1,0.081,148.23,4.0,0.855
Jumpman,Drake,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.19399999999999998,142.065,4.0,0.677
7/11,Beyoncé,0.0128,0.747,213507,0.705,0.0,9,0.126,-5.1370000000000005,0,0.126,136.024,4.0,0.5710000000000001
Somebody's Watching Me,Rockwell,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848
Bang That,Disclosure,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,4.0,0.622
I Don't Sell Molly No More,ILoveMakonnen,0.0035600000000000002,0.76,186122,0.402,0.0,8,0.33299999999999996,-8.751,1,0.16399999999999998,147.028,4.0,0.069
Versace Python,Riff Raff,0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,0.318
Monster,Kanye West,0.00243,0.621,378893,0.6829999999999999,0.00856,11,0.525,-5.619,0,0.242,124.28299999999999,5.0,0.0891
OOOUUU,Young M.A.,0.5329999999999999,0.64,234526,0.8190000000000001,0.0,7,0.156,-4.1080000000000005,1,0.455,166.012,4.0,0.624
Return Of The Mack - C & J Street Mix,Mark Morrison,0.0063100000000000005,0.715,213093,0.833,0.0,2,0.16399999999999998,-5.379,1,0.10800000000000001,95.48700000000001,4.0,0.607
Fantastic Man,William Onyeabor,0.00182,0.7,386160,0.7559999999999999,0.711,2,0.0575,-10.714,1,0.0575,114.28,4.0,0.9470000000000001
Right Place Wrong Time,Dr. John,0.0923,0.789,175240,0.494,0.000408,1,0.14400000000000002,-13.702,1,0.0456,104.59299999999999,4.0,0.8320000000000001
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,0.375,0.7959999999999999,252547,0.86,0.00457,5,0.0745,-6.202000000000001,0,0.0653,129.00799999999998,3.0,0.973
Odofo Nyi Akyiri Biara,Ebo Taylor,0.183,0.716,576888,0.9570000000000001,0.057999999999999996,3,0.182,-4.814,1,0.0689,106.714,4.0,0.93
Annie,Neon Indian,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852
The Chase,Future Islands,0.0638,0.7,224480,0.84,0.11199999999999999,7,0.141,-6.227,0,0.0292,132.475,4.0,0.745
Coming Home,Leon Bridges,0.456,0.514,215613,0.45299999999999996,0.000181,6,0.17800000000000002,-7.062,1,0.0267,75.548,4.0,0.532
Wishes,Beach House,0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4.0,0.18600000000000003
White Iverson,Post Malone,0.24600000000000002,0.6759999999999999,254769,0.528,0.0,7,0.0803,-8.699,1,0.0366,130.07299999999998,4.0,0.301
I Know There's Gonna Be (Good Times),Jamie xx,0.12,0.532,213622,0.596,0.0,11,0.504,-9.912,0,0.187,119.296,5.0,0.486
Loud Places,Jamie xx,0.00426,0.6459999999999999,283067,0.629,0.27699999999999997,8,0.122,-10.775,0,0.0427,109.01299999999999,4.0,0.17600000000000002
L$D,A$AP Rocky,0.193,0.598,238307,0.252,0.138,2,0.0992,-15.085999999999999,1,0.0647,120.06,4.0,0.0359
Dopeman,Vince Staples,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,4.0,0.599
California Nights,Best Coast,0.000392,0.294,311360,0.7859999999999999,0.865,2,0.272,-3.6260000000000003,1,0.0378,81.108,4.0,0.136
Baby,Ariel Pink's Haunted Graffiti,0.435,0.622,287427,0.253,0.47100000000000003,2,0.0941,-14.36,1,0.0331,92.584,4.0,0.32799999999999996
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",0.257,0.5589999999999999,225347,0.6559999999999999,0.000171,9,0.2,-8.699,0,0.0469,79.638,4.0,0.6709999999999999
Fail to Cry,Yacht Club,0.000145,0.54,293646,0.945,0.753,9,0.667,-6.64,1,0.0406,92.995,4.0,0.87
Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,0.273,0.7929999999999999,232251,0.7,0.0,0,0.174,-6.641,0,0.0572,140.058,4.0,0.887
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,0.374,0.5489999999999999,223720,0.715,3.5000000000000004e-06,1,0.17,-11.164000000000001,1,0.0633,82.118,4.0,0.785
Sentimental Trash,Sweet Valley,0.00266,0.557,186397,0.607,0.7709999999999999,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259
Get Away,CHVRCHES,0.000546,0.597,279240,0.444,0.051,2,0.335,-8.39,0,0.03,120.074,4.0,0.361
Look At Wrist,Father,0.007809999999999999,0.879,213786,0.512,1.4499999999999998e-05,0,0.134,-7.83,1,0.0775,127.95,4.0,0.27699999999999997
Our Love,Caribou,0.125,0.726,334173,0.49700000000000005,0.89,10,0.10400000000000001,-10.742,0,0.0433,125.00399999999999,4.0,0.47200000000000003
I Ain't Trippin off Nothin,Ezale,0.00158,0.857,134062,0.831,0.0,2,0.154,-4.664,1,0.0995,106.059,4.0,0.251
They Don't Know - Original Mix,Disciples,0.0132,0.807,330920,0.778,0.6659999999999999,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797
Sabali,Amadou & Mariam,0.7829999999999999,0.596,196627,0.639,0.569,0,0.331,-6.546,1,0.03,124.012,4.0,0.19699999999999998
Spooky,Dusty Springfield,0.518,0.6829999999999999,155133,0.708,2.08e-05,4,0.175,-6.852,0,0.0289,106.446,4.0,0.9670000000000001
Pick Up The Pieces,Average White Band,0.0548,0.768,239908,0.853,0.13,10,0.0188,-5.915,0,0.0427,107.234,4.0,0.887
Have Love Will Travel,The Sonics,0.727,0.506,160400,0.948,0.0,10,0.0904,-5.626,1,0.105,130.195,4.0,0.9359999999999999
Capitol,TR/ST,0.00031299999999999996,0.457,293533,0.9179999999999999,0.000215,11,0.769,-5.295,0,0.0471,105.01799999999999,4.0,0.297
Uncast Shadow Of A Southern Myth,Parquet Courts,0.34,0.46799999999999997,386760,0.58,0.821,7,0.0737,-8.131,1,0.0278,76.27,4.0,0.324
I Shall Be Released - Remastered,Nina Simone,0.47,0.537,232453,0.447,1.86e-05,9,0.0519,-8.261000000000001,1,0.0289,84.36200000000001,3.0,0.5489999999999999
Words I Don't Remember,How To Dress Well,0.855,0.515,378253,0.217,0.46299999999999997,3,0.598,-13.382,0,0.0351,80.015,4.0,0.19399999999999998
To The Top,Twin Shadow,0.00502,0.429,196933,0.725,1.5399999999999998e-05,2,0.266,-6.156000000000001,1,0.0371,82.925,4.0,0.174
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,0.555,0.7909999999999999,187210,0.58,0.00155,8,0.11599999999999999,-8.377,1,0.0588,81.678,4.0,0.733
Aquafina (feat. GoldLink & Chaz French),Falcons,0.18600000000000003,0.711,221350,0.705,0.0,10,0.14800000000000002,-6.247999999999999,0,0.252,144.053,4.0,0.40299999999999997
Hot Blur,How Sad,0.0249,0.6829999999999999,201049,0.8240000000000001,0.627,1,0.0533,-8.568999999999999,0,0.222,154.00799999999998,4.0,0.9209999999999999
Summer Madness,Kool & The Gang,0.0108,0.309,257867,0.325,0.8540000000000001,6,0.0742,-16.4,0,0.0366,175.88,4.0,0.46
The Payback,James Brown,0.193,0.867,460400,0.733,0.00021899999999999998,10,0.7490000000000001,-7.54,0,0.237,97.835,4.0,0.7609999999999999
I'm In Love,Fool's Gold,0.0192,0.619,275533,0.7340000000000001,0.263,5,0.0771,-9.366,0,0.0343,106.03399999999999,4.0,0.853
I Need You Tonight,Punkin Machine,0.0077599999999999995,0.898,429897,0.5,0.292,1,0.0771,-11.089,1,0.0571,122.281,4.0,0.868
Everybody Likes Something Good,Ify Jerry Crusade,0.17,0.589,206240,0.745,0.00040599999999999995,7,0.376,-8.109,1,0.076,99.40700000000001,4.0,0.76
Dadje Von O Von Non,Gnonnas Pédro,0.0221,0.606,234987,0.6679999999999999,1.65e-05,5,0.0527,-9.168,0,0.0729,158.859,4.0,0.958
Sugah Daddy,D'Angelo,0.0397,0.7859999999999999,302840,0.547,0.272,1,0.0378,-11.415999999999999,1,0.262,92.603,4.0,0.68
International Players Anthem,Swishahouse,0.0213,0.7340000000000001,321933,0.5479999999999999,0.0,11,0.512,-9.682,1,0.386,128.289,4.0,0.72
Swerve,ILoveMakonnen,0.0454,0.812,268421,0.6759999999999999,0.0,1,0.0929,-4.502,1,0.0491,114.04700000000001,4.0,0.39899999999999997
Look At Wrist,Father,0.00672,0.8759999999999999,213246,0.606,1.06e-05,0,0.14,-5.471,1,0.0645,127.975,4.0,0.249
Let It Happen,Tame Impala,0.00488,0.601,467587,0.873,0.0365,1,0.113,-5.8660000000000005,0,0.0448,124.99700000000001,4.0,0.5660000000000001
My Way (feat. Monty),Fetty Wap,0.00419,0.748,213053,0.741,0.0,6,0.147,-3.103,1,0.0531,128.077,4.0,0.5329999999999999
Walk,Kwabs,0.17,0.615,214150,0.8140000000000001,0.0,9,0.218,-3.903,0,0.0677,144.005,4.0,0.601
The Magnificent Seven - Remastered,The Clash,0.0604,0.799,333520,0.789,0.0,0,0.0338,-8.208,1,0.0396,116.081,4.0,0.833
NOBO,Tijuana Panthers,0.0571,0.39799999999999996,247390,0.7759999999999999,0.0172,9,0.303,-7.388,0,0.0374,110.815,4.0,0.6890000000000001
The Gaudy Side of Town,Gayngs,0.716,0.685,427227,0.423,0.518,11,0.0765,-9.031,0,0.0475,138.034,4.0,0.649
U Mad,Vic Mensa,0.0151,0.706,299799,0.581,0.0,9,0.368,-6.492000000000001,1,0.055,134.009,4.0,0.46299999999999997
Slumlord,Neon Indian,0.228,0.63,315595,0.98,0.0066099999999999996,1,0.48700000000000004,-4.914,1,0.059000000000000004,108.009,4.0,0.805
Leave A Trace,CHVRCHES,0.017,0.57,237480,0.736,5.739999999999999e-05,9,0.17800000000000002,-5.822,1,0.0844,99.86,4.0,0.267
Willing & Able,Disclosure,0.247,0.525,292760,0.643,0.0,5,0.106,-6.874,0,0.816,199.727,4.0,0.943
White Girl,Shy Glizzy,0.12300000000000001,0.698,236760,0.7929999999999999,0.0,1,0.0805,-5.332000000000001,0,0.105,129.94799999999998,4.0,0.46
Maneuvering,ILoveMakonnen,0.00705,0.763,213375,0.773,0.032,0,0.772,-4.7219999999999995,1,0.0533,130.025,4.0,0.34700000000000003
Be My Baby,The Ronettes,0.18100000000000002,0.511,160907,0.769,0.0,4,0.0921,-7.032,1,0.042,129.657,4.0,0.8140000000000001
Why Don't They Let Us Fall in Love,The Ronettes,0.37799999999999995,0.506,159253,0.813,0.0293,4,0.276,-5.78,1,0.0392,108.212,4.0,0.855
Will You Love Me Tomorrow,The Shirelles,0.677,0.513,162040,0.494,6.43e-05,0,0.14300000000000002,-5.072,1,0.0315,135.894,4.0,0.521
One Fine Day,The Chiffons,0.488,0.251,126827,0.868,7.34e-06,1,0.818,-2.685,1,0.128,177.125,4.0,0.5870000000000001
He's So Fine - 2000 Digital Remaster,The Chiffons,0.48700000000000004,0.5589999999999999,111270,0.633,0.0,7,0.16399999999999998,-3.265,1,0.0329,72.49600000000001,4.0,0.8420000000000001
Then He Kissed Me,The Crystals,0.7,0.431,158685,0.6779999999999999,6.37e-06,4,0.19899999999999998,-7.945,1,0.0365,135.91899999999998,4.0,0.632
It's My Party,Lesley Gore,0.40299999999999997,0.6829999999999999,142333,0.71,0.0,9,0.086,-7.445,1,0.114,128.181,4.0,0.93
Please Mr. Postman,The Marvelettes,0.6559999999999999,0.78,149440,0.599,0.0,2,0.129,-10.251,1,0.0329,121.198,4.0,0.9670000000000001
Fiesta - Remix,Bomba Estéreo,0.009040000000000001,0.614,196352,0.907,0.000131,4,0.36,-2.536,0,0.14300000000000002,122.906,4.0,0.354
Queen's Speech 4,Lady Leshurr,0.141,0.6609999999999999,196615,0.531,0.0,7,0.136,-10.113,0,0.5479999999999999,93.287,5.0,0.657
I Know There's Gonna Be (Good Times),Jamie xx,0.11900000000000001,0.564,213622,0.594,0.0,11,0.536,-9.912,0,0.155,89.39399999999999,4.0,0.489
With That (feat. Duke),Young Thug,0.0659,0.7509999999999999,202533,0.597,0.0,9,0.0881,-6.59,0,0.125,123.99700000000001,4.0,0.168
Hotline Bling,Drake,0.00257,0.8959999999999999,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.96200000000002,4.0,0.564
679 (feat. Remy Boyz),Fetty Wap,0.00256,0.618,196693,0.7170000000000001,0.0,7,0.625,-5.7379999999999995,1,0.318,190.05,4.0,0.601
Trap Queen,Fetty Wap,0.0244,0.746,222093,0.873,0.0,7,0.354,-3.803,1,0.128,148.075,4.0,0.8079999999999999
No Type,Rae Sremmurd,0.013000000000000001,0.888,200080,0.483,4.85e-06,6,0.0926,-7.797000000000001,1,0.154,125.008,4.0,0.221
Chasing Heaven,Bassnectar,0.0127,0.44299999999999995,318750,0.645,0.9520000000000001,6,0.122,-6.24,1,0.0515,128.04399999999998,4.0,0.138
Speakerbox (feat. Lafa Taylor),Bassnectar,0.00943,0.507,282273,0.934,0.0018,8,0.222,-2.325,0,0.188,175.954,4.0,0.47200000000000003
Movin' Bass - GTA Remix,Rick Ross,0.000758,0.695,253773,0.912,0.000103,10,0.302,-3.3310000000000004,0,0.193,160.043,4.0,0.612
Danger and Dread,Brown Bird,0.674,0.462,226333,0.449,0.0006320000000000001,0,0.0993,-9.271,0,0.0916,209.68599999999998,4.0,0.748
Midnight City,M83,0.0161,0.526,241440,0.7120000000000001,0.0,11,0.179,-6.525,0,0.0356,105.009,4.0,0.299
Water No Get Enemy - Edit,Fela Kuti,0.107,0.645,591707,0.924,0.0266,10,0.0982,-7.697,0,0.0569,90.852,4.0,0.8859999999999999
Pyramids,Frank Ocean,0.0134,0.405,592920,0.647,7.62e-05,5,0.8190000000000001,-6.109,0,0.0482,131.952,4.0,0.204
Hercules Theme,Hercules & Love Affair,0.0219,0.735,269817,0.6409999999999999,0.89,7,0.168,-6.1770000000000005,0,0.0284,105.993,4.0,0.8859999999999999
Rewind,Kelela,0.0452,0.746,238146,0.41600000000000004,7.77e-05,11,0.12,-6.607,1,0.0482,132.036,4.0,0.21600000000000003
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,0.0551,0.547,251093,0.643,0.0,1,0.267,-8.904,1,0.22699999999999998,143.064,4.0,0.187
Kush,Lil Wayne,0.0224,0.634,221960,0.609,0.0,6,0.099,-8.982000000000001,1,0.172,83.021,4.0,0.659
9,Willow,0.244,0.607,253800,0.488,0.000177,8,0.113,-8.704,1,0.193,77.021,4.0,0.16
Magnets,Disclosure,0.0668,0.7040000000000001,199246,0.647,1.93e-06,10,0.10099999999999999,-7.874,0,0.171,92.00200000000001,4.0,0.6940000000000001
Don't Move,Phantogram,7.190000000000001e-05,0.5579999999999999,258187,0.642,0.00746,5,0.201,-5.206,0,0.0321,99.977,4.0,0.49200000000000005
Pussy,Brazilian Girls,0.0227,0.698,248053,0.804,0.0599,4,0.5660000000000001,-6.6160000000000005,1,0.111,92.001,4.0,0.7859999999999999
Black Mags,The Cool Kids,0.10300000000000001,0.772,191160,0.5820000000000001,6.61e-05,4,0.32299999999999995,-5.96,0,0.309,172.03,4.0,0.564
Stay Fly - Explicit Album Version,Three 6 Mafia,0.0956,0.7879999999999999,238467,0.8640000000000001,0.0,11,0.335,-5.767,1,0.0335,133.295,4.0,0.6779999999999999
Sippin On Some Syrup,Three 6 Mafia,0.00919,0.9440000000000001,261973,0.8390000000000001,0.0,11,0.0921,-4.141,1,0.10800000000000001,136.019,4.0,0.8909999999999999
Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,0.354,0.7290000000000001,176880,0.795,0.0,7,0.536,-4.579,1,0.14400000000000002,146.747,4.0,0.853
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,0.00469,0.721,228933,0.621,0.0103,1,0.19899999999999998,-4.378,1,0.306,159.967,4.0,0.578
Gold and a Pager,The Cool Kids,0.0010199999999999999,0.7979999999999999,227587,0.7509999999999999,3.22e-06,1,0.0271,-6.335,1,0.263,162.003,4.0,0.48200000000000004
Smell Yo D*ck,Riskay,0.0512,0.851,224653,0.387,0.0,0,0.0996,-13.584000000000001,1,0.33399999999999996,116.62899999999999,4.0,0.365
Don't Wanna Lose,Ex Hex,0.0252,0.34,147467,0.805,0.0,7,0.138,-3.397,1,0.0387,167.922,4.0,0.654
Endless Rhythm,Baio,0.221,0.767,194066,0.8909999999999999,0.0723,4,0.0935,-6.426,1,0.0402,122.02600000000001,4.0,0.779
Demon,Shamir,0.937,0.772,220093,0.635,0.018000000000000002,0,0.0961,-8.412,1,0.0536,168.03900000000002,4.0,0.5920000000000001
Nothing Ever Happened,Deerhunter,2.13e-05,0.259,350920,0.847,0.823,2,0.133,-6.297999999999999,1,0.0332,150.162,4.0,0.682
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,0.284,0.633,226747,0.77,0.0,10,0.308,-6.954,0,0.327,149.97,4.0,0.324
River,Ibeyi,0.0962,0.654,252095,0.292,0.0031,2,0.106,-12.977,1,0.474,153.547,4.0,0.111
The Buzz (feat. Mataya & Young Tapz),Hermitude,0.33399999999999996,0.726,221787,0.583,0.00135,0,0.122,-6.434,0,0.23,140.94299999999998,4.0,0.48
All Day,Kanye West,0.0648,0.855,310907,0.638,0.0,9,0.162,-4.968,0,0.14300000000000002,122.96700000000001,4.0,0.433
Blood On the Money,Future,0.185,0.7040000000000001,282253,0.431,0.0972,8,0.249,-7.893,1,0.131,146.003,4.0,0.349
River,Leon Bridges,0.6890000000000001,0.6579999999999999,238560,0.179,0.0,8,0.17,-10.866,1,0.0448,128.128,4.0,0.19699999999999998
Trust Me Danny,ILoveMakonnen,0.000472,0.502,244204,0.833,0.043,2,0.35200000000000004,-4.982,1,0.0638,142.053,4.0,0.593
Big Rings,Drake,0.00157,0.79,217707,0.6759999999999999,0.0,8,0.25,-6.432,0,0.271,132.002,4.0,0.314
Annie,Neon Indian,0.0233,0.738,242188,0.8490000000000001,0.0317,2,0.309,-6.246,1,0.0822,95.98700000000001,4.0,0.863
Acamar,Frankey,0.00212,0.777,500550,0.7390000000000001,0.868,9,0.109,-9.089,1,0.039,119.992,4.0,0.201
Alright,Kendrick Lamar,0.0734,0.7909999999999999,219333,0.779,0.0,7,0.0832,-5.972,1,0.235,110.037,4.0,0.581
Know Yourself,Drake,0.19,0.735,275840,0.41,0.0,11,0.341,-8.735,0,0.2,114.81200000000001,4.0,0.16
Deicide,Crystal Castles,0.188,0.556,294360,0.5820000000000001,0.9109999999999999,6,0.22899999999999998,-10.65,0,0.0357,131.023,4.0,0.516
Coming Home,Leon Bridges,0.461,0.42700000000000005,206387,0.465,5.520000000000001e-05,6,0.154,-6.595,1,0.0291,112.137,3.0,0.462
Hercules Theme 2014,Hercules & Love Affair,0.0111,0.563,176361,0.81,2.71e-05,8,0.142,-9.158,1,0.0372,99.99600000000001,4.0,0.767
Forever,Majid Jordan,0.0496,0.753,256320,0.708,0.0123,6,0.0872,-7.2170000000000005,0,0.223,115.00399999999999,4.0,0.445
Next to You,Poolside,0.149,0.785,262979,0.764,0.813,4,0.201,-5.245,0,0.04,93.984,4.0,0.961
Papi Pacify,FKA twigs,0.0682,0.557,293910,0.608,0.0263,5,0.196,-7.657,0,0.0862,109.67,4.0,0.21100000000000002
Magnolia,Young & Sick,0.489,0.594,235693,0.42,0.004520000000000001,4,0.0833,-8.467,0,0.031,140.04,4.0,0.311
Dark Matter,Feathers,0.000259,0.644,237120,0.758,0.0708,5,0.0726,-7.859,1,0.0458,108.99,4.0,0.752
Callie (feat. Vic Mensa),Donnie Trumpet,0.217,0.7040000000000001,185437,0.657,0.000118,10,0.0888,-7.172000000000001,0,0.35,150.058,4.0,0.804
Wu-Tang Forever,Drake,0.0472,0.8490000000000001,217693,0.408,0.0,6,0.10099999999999999,-8.67,0,0.284,99.876,4.0,0.337
Fame (2007 Remastered),David Bowie,0.228,0.628,260947,0.568,0.0183,10,0.0906,-10.695,1,0.14,191.40400000000002,4.0,0.618
We Dem Boyz,Wiz Khalifa,0.00689,0.7170000000000001,224933,0.862,0.0,8,0.321,-4.736000000000001,1,0.054000000000000006,130.02100000000002,4.0,0.512
Ego Free Sex Free,Autre Ne Veut,0.0109,0.584,243480,0.68,1.03e-06,9,0.129,-4.685,0,0.0524,104.89,4.0,0.326
Her Fantasy,Matthew Dear,0.0246,0.586,374133,0.8059999999999999,0.000167,1,0.353,-9.542,1,0.0548,110.325,4.0,0.207
Little People (Black City),Matthew Dear,0.00399,0.648,560600,0.85,0.294,1,0.35,-6.277,1,0.0439,112.014,4.0,0.5589999999999999
Confess To Me,Disclosure,0.037000000000000005,0.807,250130,0.785,0.000763,8,0.18,-7.928,1,0.14800000000000002,124.051,4.0,0.42100000000000004
Let Me Show You Love,Cut Copy,0.0789,0.5770000000000001,355881,0.941,0.207,10,0.342,-4.338,1,0.0422,99.995,4.0,0.381
New Slaves,Kanye West,0.141,0.5,256093,0.593,6.21e-06,1,0.0969,-4.34,1,0.0898,68.456,4.0,0.325
Sexy Socialite,Chromeo,0.10800000000000001,0.804,336160,0.708,0.0636,10,0.0528,-5.099,0,0.0394,141.996,4.0,0.966
Okay,Holy Ghost!,0.0108,0.787,273853,0.6579999999999999,0.0152,8,0.13,-5.379,0,0.0324,110.98299999999999,4.0,0.867
Weight,Mikal Cronin,0.0107,0.24600000000000002,230230,0.784,5.71e-06,5,0.0825,-5.004,1,0.0529,153.02700000000002,4.0,0.18899999999999997
When A Fire Starts To Burn,Disclosure,0.0107,0.882,284027,0.743,0.0015199999999999999,7,0.327,-6.972,1,0.141,123.97,4.0,0.6779999999999999
When A Fire Starts To Burn - Midland Remix,Disclosure,0.0315,0.628,308527,0.8240000000000001,0.5429999999999999,0,0.0999,-7.983,1,0.11199999999999999,122.01,4.0,0.86
