StreetNumber,StreetName,StreetNamePostType,Directional,strLocation,dtTime,streetID,VehicleName,Latitude,Longitude
107,PARRISH ,LN, ,107 PARRISH LN,4/25/2016 10:53,12564395,DP2,-76.1427017371,42.9861408969
113,EDNA ,RD, ,113 EDNA RD,4/28/2016 10:50,12564393,DP2,-76.1412259399,42.9851323977
283,RIDER ,AVE, ,283 RIDER AVE,4/30/2016 10:37,12572901,DP2,-76.1793266531,43.0274082041
216,STRATHMORE ,DR, ,216 STRATHMORE DR,4/30/2016 11:06,12571883,DP2,-76.1723311486,43.0213718999
428,KIRK ,AVE, ,428-30 KIRK AVE,4/30/2016 13:07,12573196,DP2,-76.1550649449,43.0275994065
101,OAKLEY ,DR, ,101 OAKLEY DR & SALINA ST S,5/3/2016 9:25,12564397,DP2,-76.1438509339,42.9871253947
185,MAPLEWOOD ,AVE, ,185 MAPLEWOOD AVE,5/3/2016 9:37,12564408,DP2,-76.1406202328,42.9882181951
1112,BELLEVUE ,AVE, ,1112-14 BELLEVUE AVE,5/4/2016 13:12,12573047,DP2,-76.1733546531,43.0329071055
810,BRIGHTON ,AVE, E,810 E BRIGHTON AVE SYRACUSE 13205,5/5/2016 11:34,13028153,DP2,-76.1313967357,43.0058014008
761,ONONDAGA ,ST,W ,761-65 ONONDAGA ST W & TALLMAN S,5/7/2016 7:59,12573261,DP2,-76.1637246504,43.0353444046
203,CHELTENHAM ,RD,E ,203 CHELTENHAM RD E & COLDBRO,5/9/2016 13:09,12576543,DP2,-76.1400957335,42.9953071001
203,CHELTENHAM ,RD,E ,203 CHELTENHAM RD E & COLDBRO,5/9/2016 13:16,12576543,DP2,-76.1398601323,42.9953760954
238,SENECA ,TNPK,E ,238 SENECA TNPK E & MONTICELL,5/10/2016 10:58,12576560,DP2,-76.1388332322,42.999733697
116,SUNNYSIDE PK,RD, ,116 SUNNYSIDE PK RD,5/12/2016 8:45,12578914,DP1,-76.0931089213,43.0437161061
209,LORRAINE ,AVE, ,209 LORRAINE AVE,5/12/2016 10:24,12576974,DP1,-76.132145733,43.0236786061
4210,SALINA ,ST,S ,4210-24 SALINA ST S & FLORENCE AV,5/16/2016 11:29,12576599,DP2,-76.1431019366,43.0071287018
227,CLARENCE ,AVE, ,227 CLARENCE AVE & OTTO ST,5/17/2016 11:02,12576634,DP1,-76.140356739,43.0043930969
110,FLORAL ,PKWY, ,110 FLORAL PKWY,5/18/2016 14:14,12576579,DP1,-76.1461009352,43.0024175963
166,GLEN ,AVE,W ,166 GLEN AVE W & FERNDALE DR,5/18/2016 14:33,12576629,DP1,-76.1457197351,43.0055150995
524,ERIE ,BLVD,W ,524-36 ERIE BLVD W TO TRACY ST,5/19/2016 9:25,12573771,DP1,-76.1619941448,43.0503249094
314,ATLANTIC ,AVE, ,314 ATLANTIC AVE,5/21/2016 11:09,12571953,DP1,-76.1532496384,43.010877704
140,ATLANTIC ,AVE, ,140 ATLANTIC AVE & ONONDAGA C,5/23/2016 9:54,12576699,DP1,-76.15139424,43.010581698
1202,MCBRIDE ,ST,S ,1202-04 MCBRIDE ST S & TAYLOR ST,5/23/2016 11:42,12577466,DP1,-76.1438729426,43.0392044037
314,MARGUERITE ,AVE, ,314 MARGUERITE AVE,5/24/2016 9:09,12572073,DP1,-76.1592296424,43.0200024005
700,SENECA ,TNPK,W ,700 SENECA TNPK W & BARNES AV,5/24/2016 10:02,12571730,DP1,-76.1587922437,43.0033526015
136,MAURICE ,AVE, ,136 MAURICE AVE & BARNES AVE,5/24/2016 13:50,12571929,DP1,-76.1605904463,43.0124995994
1023,VALLEY ,DR, ,1023 VALLEY DR & FISH AVE,5/31/2016 15:42,12571780,DP1,-76.154523144,43.0067744029
203,LOWELL ,AVE,N ,203 LOWELL AVE N & ULSTER ST,6/1/2016 13:13,12573388,DP1,-76.1833332561,43.0489457036
144,CORNING ,AVE,W ,144 CORNING AVE W,6/3/2016 11:23,12576806,DP1,-76.1439247395,43.0186244045
144,CORNING ,AVE,W ,144 CORNING AVE W,6/3/2016 11:38,12576806,DP1,-76.1439914394,43.0186324042
194,CORNING ,AVE,W ,194 CORNING AVE W & CANNON,6/3/2016 13:37,12576806,DP1,-76.1456929384,43.0184769031
208,DRISCOLL ,AVE, ,208-10 DRISCOLL AVE & MYRTLE AVE,6/4/2016 10:17,12572758,DP1,-76.1973229625,43.0528816089
1417,FAYETTE ,ST,E ,1417 FAYETTE ST E,6/6/2016 9:27,12578199,DP1,-76.1262211371,43.0483757076
238,HAYDEN ,AVE, ,238 HAYDEN AVE,6/7/2016 8:29,12572789,DP1,-76.1970519588,43.0541224083
100,GEDDES ,ST,N ,100 GEDDES ST N & ERIE BLVD W,6/7/2016 10:12,13002381,DP1,-76.1700131538,43.0482087083
296,LORRAINE ,AVE, ,296 LORRAINE AVE & VINCENT ST,6/22/2016 13:27,12576972,DP2,-76.1322271384,43.021310204
316,KENSINGTON ,PL, ,316 KENSINGTON PL,6/23/2016 9:24,12577528,DP2,-76.1195219329,43.0271777044
205,SCHUYLER ,ST, ,205 SCHUYLER ST,7/5/2016 15:34,12573478,DP2,-76.1824534551,43.0506206057
314,SUMMIT ,AVE, ,314 SUMMIT AVE & CROSSETT ST,7/8/2016 9:46,13002154,DP2,-76.1656699431,43.0282262018
136,HALL ,AVE, ,136 HALL AVE                                      ,8/3/2016 7:34,12576722,DP2,-76.1434577413,43.0124080998
102,FAIRFIELD ,AVE, ,102 FAIRFIELD AVE                                 ,8/17/2016 5:52,12572007,DP2,-76.1629934487,43.0170706041
300,LYNCH ,AVE, ,300 LYNCH AVE & FLETCHER AVE                      ,8/18/2016 6:46,12571908,DP2,-76.1667466459,43.0146782027
2238,GRANT ,BLVD, ,2238 GRANT BLVD & MCCHESNEY PK                    ,9/19/2016 10:50,12580572,DP2,-76.1460134483,43.0734571154
1201,HARRISON ,ST, ,1201 HARRISON ST,4/14/2016 8:52,12578124,DP2,-76.1296037343,43.044122109
192,MERRITT ,AVE, ,192 MERRITT AVE,4/16/2016 10:15,12571711,DP2,-76.1566044417,42.9989975955
134,MERRITT ,AVE, ,134 MERRITT AVE,4/16/2016 10:26,12571711,DP2,-76.1542729453,42.9990643989
2343,BELLEVUE ,AVE, ,2343 BELLEVUE AVE,4/18/2016 10:50,12572324,DP1,-76.1920066518,43.0294481018
117,CHAFFEE ,AVE,E ,117 CHAFFEE AVE E,4/18/2016 11:28,12576514,DP2,-76.151000742,42.9978287014
110,NORMANOR ,DR, ,110 NORMANOR DR,4/19/2016 13:47,12576513,DP2,-76.1504939395,42.997181097
103,MACDOUGALL ,PL, ,103 MACDOUGALL PL,4/20/2016 10:53,12576566,DP2,-76.1516732388,43.0003763997
149,SEYMOUR ,ST, ,149 SEYMOUR ST REAR TO WEST A,4/22/2016 10:21,13002343,DP1,-76.156818142,43.0419569066
139,SEYMOUR ,ST, ,139-43 SEYMOUR ST TO S WEST ARTE,4/22/2016 10:27,13002343,DP1,-76.1565507494,43.0422426047
5101,SALINA ,ST,S ,5101 SALINA ST S & CHELTENHAM,4/25/2016 13:18,12576527,DP2,-76.1434977343,42.9948991974
4953,SALINA ,ST,S ,4953 SALINA ST S,4/25/2016 13:30,13002104,DP2,-76.1433426402,42.9962421017
**********,NOTTINGHAM ,RD, ,********** NOTTINGHAM RD,4/27/2016 10:20,12577142,DP2,-76.1108109247,43.0212856019
3506,SALINA ,ST,S ,3506-08 SALINA ST S,4/27/2016 13:35,12576766,DP2,-76.1416301368,43.0138723993
313,PARRISH ,LN, ,313 PARRISH LN,4/28/2016 9:35,12564405,DP2,-76.1383144371,42.9862960988
129,EDNA ,RD, ,129 EDNA RD & COLDBROOK DR,4/28/2016 10:05,12564393,DP2,-76.1404569371,42.9851451989
113,EDNA ,RD, ,113 EDNA RD,4/28/2016 10:58,12564393,DP2,-76.1414397389,42.985152894
110,PARRISH ,LANE, ,110 PARRISH LANE & GARY AVE,4/29/2016 13:09,12564389,DP2,-76.1423764392,42.9857103936
415,CLINTON ,ST,S ,415-17 CLINTON ST S,4/30/2016 9:07,12573747,DP2,-76.1534396411,43.0473754052
218,STRATHMORE ,DR, ,218 STRATHMORE DR & STINARD A,4/30/2016 10:56,12571870,DP2,-76.1728859481,43.0212852013
255,RICHFIELD ,AVE, ,255 RICHFIELD AVE & COLDBROOK,5/3/2016 10:36,12564416,DP2,-76.1398387344,42.9891320999
757,BRIGHTON ,AVE, E,757 E BRIGHTON AVE SYRACUSE 13210,5/5/2016 9:56,13002032,DP2,-76.1319462352,43.0074182013
617,NEWELL ,ST,W ,617 NEWELL ST W & BALDWIN AVE,5/7/2016 9:06,12571994,DP2,-76.1552657454,43.0162971012
2310,MIDLAND ,AVE, ,2310 MIDLAND AVE,5/11/2016 11:32,12576790,DP2,-76.1483331409,43.0170024015
110,CRIPPEN ,PL, ,110 CRIPPEN PL,5/18/2016 10:11,12576586,DP1,-76.1441564419,43.0042524001
120,CRIPPEN ,AVE, ,120 CRIPPEN AVE & CRIPPEN PL,5/18/2016 10:49,12576611,DP1,-76.1440234374,43.0038127015
200,VAN RENSSELAER,ST, ,200 VAN RENSSELAER ST & WILKI,5/19/2016 8:48,12573757,DP1,-76.1659364463,43.0508841086
140,ATLANTIC ,AVE, ,140 ATLANTIC AVE & ONONDAGA C,5/23/2016 9:56,12576699,DP1,-76.1510831445,43.0105436979
228,MARGUERITE ,AVE, ,228 MARGUERITE AVE,5/24/2016 9:16,12572077,DP1,-76.1575604468,43.0200021049
611,BARNES ,AVE, ,611 BARNES AVE,5/24/2016 10:27,12571754,DP1,-76.1590392445,43.0067421025
722,NEWELL ,ST,W ,722 NEWELL ST W,5/24/2016 11:15,12571967,DP1,-76.1585786423,43.0163187038
716,NEWELL ,ST,W ,716 NEWELL ST W,5/24/2016 11:20,12571967,DP1,-76.1579567476,43.016392201
124,VALLEY VIEW,DR, ,124 VALLEY VIEW DR,5/26/2016 9:07,12571923,DP1,-76.1577396428,43.009873703
148,CAMP ,AVE, ,148 CAMP AVE,5/26/2016 9:44,12571764,DP1,-76.1579462463,43.0079130998
302,WINKWORTH ,PKWY, ,302 WINKWORTH PKWY,6/15/2016 11:10,12572273,DP2,-76.1945584601,43.025329604
295,HARRIETTE ,AVE, ,295 HARRIETTE AVE & VINCENT S,6/22/2016 11:37,12576980,DP2,-76.1299397312,43.0214669064
103,RIDER ,AVE, ,103 RIDER AVE,6/25/2016 9:45,12572924,DP2,-76.1807116487,43.0320472041
141,HATCH ,ST, ,141-43 HATCH ST,7/8/2016 13:54,12572138,DP2,-76.1529361443,43.0213284028
136,VALLEY VIEW,DR, ,136 VALLEY VIEW DR                                ,8/3/2016 10:43,12571923,DP2,-76.1582932475,43.0098171981
142,VALLEY VIEW,DR, ,142 VALLEY VIEW DR                                ,8/3/2016 10:47,12571923,DP2,-76.1584626428,43.0098206993
212,BELLE ,AVE, ,212 BELLE AVE                                     ,8/3/2016 12:59,12576721,DP2,-76.1459337408,43.0114896015
2013,VALLEY ,DR, ,2013 VALLEY DR                                    ,8/12/2016 6:53,12571701,DP2,-76.1527974445,42.9956136988
151,MARVIN ,RD, ,151 MARVIN RD & BARNES AVE                        ,8/17/2016 8:13,12571898,DP2,-76.1605302412,43.0112971994
514,LYNCH ,AVE, ,514 LYNCH AVE                                     ,8/18/2016 7:51,12571819,DP2,-76.1697237436,43.0145706008
154,LAFAYETTE ,RD, ,154 LAFAYETTE RD                                  ,8/24/2016 7:37,12576658,DP2,-76.1309144302,42.9989601992
722,HAMILTON ,ST, ,722 HAMILTON ST & MYRTLE AVE                      ,8/25/2016 10:21,12572684,DP2,-76.1941579552,43.0479287033
501,HUNT ,AVE, ,501 HUNT AVE & LA FAYETTE AVE                     ,8/26/2016 6:22,12572099,DP2,-76.1545137387,43.0184237032
1127,ONONDAGA CREEK,BLVD, ,1127 ONONDAGA CREEK BLVD SYRACUSE 13207           ,8/26/2016 7:15,12573178,DP2,-76.1573416442,43.0262767049
213,KENMORE ,AVE, ,213 KENMORE AVE                                   ,8/26/2016 10:57,12576726,DP2,-76.1520012407,43.0150192012
4118,SALINA ,ST,S ,4118-22 SALINA ST S & ANDERSON AV                 ,9/9/2016 8:20,12576600,DP2,-76.1432229396,43.0079972029
311,JOHN ,ST, ,311 JOHN ST & SPRING ST                           ,9/15/2016 7:24,12580171,DP2,-76.1458411424,43.0659429131
245,WOODRUFF ,AVE, ,245 WOODRUFF AVE                                  ,9/20/2016 11:03,12580295,DP2,-76.1377867398,43.0704527144
424,NORTH ,AVE, ,424 NORTH AVE & BEACON RD                         ,9/21/2016 5:55,12581057,DP2,-76.1130836354,43.0735626126
101,GEDDES ,ST,N ,101-03 GEDDES ST N & ERIE BLVD W                  ,9/26/2016 6:25,12573466,DP2,-76.171268253,43.0481501051
2109,ERIE ,BLVD,E ,2109-21 ERIE BLVD E,4/13/2016 10:07,12578828,DP2,-76.112266429,43.0523626079
1205,MADISON ,ST, ,1205 MADISON ST,4/14/2016 8:33,12578150,DP2,-76.1284536392,43.0452984071
272,CHAFFEE ,AVE, ,272 CHAFFEE AVE & HOPPER RD,4/16/2016 12:40,12571704,DP2,-76.1597512402,42.9978716961
133,HOPPER ,RD, ,133 HOPPER RD,4/18/2016 9:32,12571720,DP2,-76.1589832435,43.001762899
109,CHAFFEE ,AVE,E ,109 CHAFFEE AVE E,4/18/2016 11:02,12571710,DP2,-76.1519171404,42.9978825959
105,UPLAND ,RD, ,105 UPLAND RD,4/18/2016 13:05,12572910,DP1,-76.1839851545,43.031815901
2247,VALLEY ,DR, ,2247 VALLEY DR & CRAFTON AVE,4/19/2016 9:40,12564371,DP2,-76.1521611408,42.9919290978
1308,STOLP ,AVE, ,1308 STOLP AVE,4/20/2016 9:56,12572903,DP1,-76.1833347563,43.0297301021
114,BRADLEY ,ST, ,114-16 BRADLEY ST & ROWLAND ST,4/21/2016 8:39,12573058,DP1,-76.1723447491,43.0356311053
100,BRONSON ,ST, ,100 BRONSON ST & WARRINGTON R,4/21/2016 8:50,12576507,DP2,-76.1454757347,42.9942368967
222,BELLEVUE ,AVE, ,222 BELLEVUE AVE,4/22/2016 9:03,12573311,DP1,-76.157621146,43.033630108
5617,SALINA ,ST,S ,5617 SALINA ST S,4/25/2016 10:29,12564376,DP2,-76.1441871374,42.9882080952
109,PARRISH ,LN, ,109 PARRISH LN,4/25/2016 10:47,12564398,DP2,-76.1424079341,42.9861126993
5821,SALINA ,ST,S ,5821 SALINA ST S,4/25/2016 11:03,12564396,DP2,-76.1437509334,42.9862370948
4909,SALINA ,ST,S ,4909 SALINA ST S & BYRNE PL,4/25/2016 13:39,13028596,DP2,-76.1431794342,42.9975626974
109,PARRISH ,LN, ,109 PARRISH LN,4/28/2016 11:37,12564395,DP2,-76.1425102343,42.9860661939
121,FAYETTE ,ST,W ,121-29 FAYETTE ST W & CLINTON ST,4/30/2016 8:55,12573749,DP2,-76.1534804425,43.0483434093
118,ONONDAGA ,AVE, ,118 ONONDAGA AVE,4/30/2016 9:58,13020744,DP2,-76.1648946432,43.033410604
239,RIDER ,AVE, ,239 RIDER AVE,4/30/2016 10:18,12572901,DP2,-76.1794762496,43.0286806059
414,GARFIELD ,AVE, ,414 GARFIELD AVE & COLVIN ST,4/30/2016 13:33,12577278,DP2,-76.141890235,43.0260396011
305,MAPLEWOOD ,AVE, ,305 MAPLEWOOD AVE & EDGEWOOD,5/3/2016 10:04,12564417,DP2,-76.1373059345,42.9888698957
5523,SALINA ,ST,S ,5523 SALINA ST S & CONIFER DR,5/3/2016 13:24,12564411,DP2,-76.1433627355,42.9903906944
756,BRIGHTON ,AVE, E,756 E BRIGHTON AVE SYRACUSE 13210,5/5/2016 11:19,13002026,DP2,-76.1321117318,43.0075182022
209,HARDING ,PL, ,209 HARDING PL,5/6/2016 9:42,12576537,DP2,-76.1393584322,42.9935957001
117,PHELPS ,PL, ,117 PHELPS PL & SNELL TERR,5/10/2016 13:30,12576563,DP2,-76.1377249357,42.9987156972
980,SALINA ,ST,S ,980-82 SALINA ST S,5/11/2016 10:09,12577366,DP2,-76.1500384397,43.0376966057
214,LORRAINE ,AVE, ,214 LORRAINE AVE,5/12/2016 10:24,12576974,DP1,-76.1321534316,43.0236616033
418,CLARENCE ,AVE, ,418 CLARENCE AVE & MONTICELLO,5/16/2016 9:02,12576626,DP2,-76.1387141335,43.0040564015
415,MONTICELLO ,DR,N ,415 MONTICELLO DR N,5/16/2016 9:19,12576646,DP2,-76.1386529403,43.004787903
415,MONTICELLO ,DR,N ,415 MONTICELLO DR N,5/16/2016 9:21,12576646,DP2,-76.1386157321,43.0048493987
316,GLEN ,AVE,E ,316 GLEN AVE E & SENECA DR,5/17/2016 9:19,12576645,DP1,-76.1395346368,43.005409702
415,TRACY ,ST, ,415 TRACY ST,5/19/2016 9:04,12573755,DP1,-76.1647791468,43.0496942042
1025,BALLANTYNE ,RD, ,1025 BALLANTYNE RD & SHERLEY D,5/21/2016 9:00,12571937,DP1,-76.1551564384,43.0094165978
922,BALLANTYNE ,RD, ,922 BALLANTYNE RD & LOOMIS AV,5/23/2016 10:43,12571946,DP1,-76.1541902464,43.0098146034
1202,MCBRIDE ,ST,S ,1202-04 MCBRIDE ST S & TAYLOR ST,5/23/2016 11:56,12577468,DP1,-76.1438666364,43.0395134095
709,VALLEY ,DR, ,709 VALLEY DR,5/26/2016 9:17,12571927,DP1,-76.1566414434,43.0098062019
149,OAKDALE ,DR, ,149 OAKDALE DR & MAINS AVE,5/26/2016 14:28,13020786,DP1,-76.1572992437,43.0065401011
115,AMES ,AVE, ,115 AMES AVE & KIMBER AVE,5/31/2016 10:36,12571735,DP1,-76.1570861454,43.0036816999
132,CORNING ,AVE,W ,132 CORNING AVE W,6/3/2016 11:05,12576806,DP1,-76.143626939,43.0186387027
180,CORNING ,AVE,W ,180 CORNING AVE W,6/3/2016 13:32,12576806,DP1,-76.1452177386,43.0185131053
314,IRVING ,AVE, ,314 IRVING AVE & WELLINGTON P,6/6/2016 14:22,12577814,DP1,-76.1381859421,43.0476189061
449,LILLIAN ,AVE, ,449-51 LILLIAN AVE TO FOBES AVE,6/7/2016 15:16,12581407,DP1,-76.1110444328,43.0744889159
1277,CANAL ,ST, ,1277 CANAL ST SYRACUSE 13210,6/8/2016 9:39,13001865,DP2,-76.1067441256,43.0551151111
240,CORNING ,AVE,W ,240-42 CORNING AVE W,6/8/2016 11:18,12576802,DP2,-76.1472766413,43.0183221044
261,HARRIETTE ,AVE, ,261 HARRIETTE AVE,6/22/2016 9:36,12576983,DP2,-76.1301817373,43.0224032043
218,MILFORD ,DR,E ,218 MILFORD DR E                                  ,7/29/2016 6:25,13012248,DP1,-76.0964649284,43.0665962107
306,MYRTLE ,AVE, ,306 MYRTLE AVE                                    ,8/25/2016 10:49,12572682,DP2,-76.1935089584,43.0471527073
1422,STATE ,ST,N ,1422 STATE ST N                                   ,9/2/2016 5:55,12575161,DP2,-76.1582394474,43.0649094133
220,DORWIN ,AVE, ,220 DORWIN AVE                                    ,9/13/2016 5:47,12564360,DP2,-76.1479084354,42.9852368968
490,PLUM ,ST, ,490-98 PLUM ST                                    ,9/20/2016 6:15,13002324,DP2,-76.1603239431,43.0548154063
738,ERIE ,BLVD,W ,738-66 ERIE BLVD W TO TRACY ST E                  ,9/26/2016 5:53,13002381,DP2,-76.1684137484,43.0483616066
